               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.058648,            0.027368,                   0,             0.65554,             0.59704,             0.59433,             0.18912,            0.064577,            0.024338,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.060816,            0.026723,                   0,               0.644,             0.53917,             0.54468,             0.17135,            0.065231,            0.024399,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.060232,            0.027143,                   0,             0.67395,             0.58039,             0.59206,             0.18442,            0.065039,              0.0251,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.059134,              0.0266,                   0,             0.67661,             0.58431,             0.60637,             0.19394,            0.063885,            0.024694,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.059529,            0.028248,                   0,              0.6497,             0.63922,             0.65843,             0.20332,              0.0649,             0.02427,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.059563,            0.027506,                   0,              0.6723,             0.56471,             0.61941,              0.1928,            0.064987,            0.024816,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.056784,            0.027446,                   0,             0.68638,             0.57647,              0.6089,             0.19381,            0.064353,            0.024246,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.058028,            0.027415,                   0,             0.73327,             0.59608,             0.64994,             0.20749,            0.062683,            0.023973,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.056548,            0.028372,                   0,             0.67669,             0.59096,             0.61627,              0.1985,            0.065476,            0.023786,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.057631,            0.027049,                   0,             0.71068,             0.59216,             0.64608,              0.1998,            0.063113,            0.024021,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.057739,            0.027119,                   0,             0.67862,             0.58431,             0.61981,             0.19576,            0.062197,            0.023882,                   0,            0.006535,            0.006535,            0.006535
                  72,             0.05845,            0.026653,                   0,             0.65612,             0.62104,              0.5957,             0.18378,            0.062569,            0.024668,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.057346,            0.025569,                   0,             0.65036,             0.64314,             0.65066,             0.19288,            0.061031,             0.02378,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.056865,            0.025737,                   0,             0.73137,             0.62353,             0.65759,             0.20821,             0.06255,            0.023766,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.057219,            0.026534,                   0,             0.72702,             0.61176,             0.66722,             0.19412,            0.063251,            0.023729,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.057868,            0.026889,                   0,             0.65524,             0.59608,             0.52116,             0.15303,            0.065062,            0.025441,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.055324,            0.029118,                   0,             0.70473,             0.64581,             0.61023,             0.19293,            0.059875,            0.024485,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.059253,             0.02627,                   0,             0.61467,             0.52941,             0.54228,             0.16261,              0.0635,            0.027853,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.058535,            0.028528,                   0,              0.6762,             0.61569,             0.60069,             0.19345,            0.060192,               0.025,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.057425,            0.025694,                   0,             0.70724,             0.59684,             0.60396,             0.19996,            0.060881,            0.024101,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.058338,            0.026936,                   0,             0.69886,             0.60784,              0.5989,             0.19645,            0.060298,            0.023662,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.057938,            0.028475,                   0,             0.70414,             0.60784,             0.65809,             0.19425,            0.060775,            0.023463,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.058517,            0.026353,                   0,             0.69351,                 0.6,             0.62356,             0.18924,            0.062301,             0.02364,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.058336,            0.026168,                   0,             0.72718,             0.58535,             0.64176,             0.19132,              0.0615,            0.024069,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.057788,            0.025773,                   0,             0.66653,             0.61924,             0.62209,             0.20056,            0.062585,            0.023817,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.057698,            0.027112,                   0,              0.6595,             0.57647,             0.61841,             0.21065,            0.062686,            0.023738,                   0,           0.0057925,           0.0057925,           0.0057925
