               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.048227,            0.034208,                   0,             0.79893,             0.70588,             0.77233,             0.27431,            0.052512,            0.037271,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.045849,            0.033891,                   0,             0.76642,             0.70773,             0.74661,             0.27241,            0.053197,            0.037964,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.047281,            0.033201,                   0,             0.73501,             0.68235,             0.70041,             0.25972,             0.05463,            0.038815,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.045817,            0.035779,                   0,             0.69753,              0.7098,             0.69755,             0.25233,            0.056057,            0.040159,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.046706,            0.035063,                   0,             0.72844,             0.68376,              0.6956,             0.24785,            0.055292,            0.040577,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.046392,            0.034466,                   0,             0.72911,             0.67843,              0.6834,             0.24685,            0.055273,            0.039608,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.046557,            0.035439,                   0,              0.7618,             0.73725,             0.76752,             0.26904,            0.054408,            0.037827,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,             0.04523,            0.033557,                   0,             0.76864,             0.72157,              0.7795,             0.27909,            0.054832,            0.038332,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.047972,            0.034554,                   0,             0.83725,             0.68593,              0.7918,             0.28121,            0.053142,            0.038013,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.046598,            0.035567,                   0,             0.81278,             0.65098,              0.7556,             0.27399,            0.053474,            0.040108,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.047602,            0.033648,                   0,             0.78616,             0.63137,             0.72532,             0.25579,            0.055056,            0.042107,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.045873,            0.034396,                   0,             0.74707,             0.68341,             0.73281,             0.26166,            0.055376,              0.0396,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.046285,            0.034401,                   0,             0.83975,             0.67843,             0.76237,             0.25974,            0.054949,            0.039307,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.047437,            0.034528,                   0,             0.79308,             0.73648,             0.78771,             0.26684,            0.055544,            0.039471,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.046187,            0.032753,                   0,             0.82272,             0.66275,             0.77473,             0.28607,            0.053857,            0.039618,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.045192,            0.034801,                   0,              0.7425,             0.63922,             0.70321,             0.23017,            0.057534,            0.039618,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.045429,            0.035719,                   0,             0.72772,             0.70223,             0.74162,             0.24853,             0.05615,            0.038591,                   0,           0.0078616,           0.0078616,           0.0078616
