                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.8375,                 1.0218,                 1.0539,                0.72889,                 0.7098,                0.74211,                0.28365,                 2.1064,                  1.073,                 1.1495,                0.00307,                0.00307,                0.00307
                     72,                 1.8096,                 1.0054,                 1.0345,                0.76011,                0.70829,                0.76716,                0.29931,                 2.0716,                 1.0092,                 1.1478,               0.002971,               0.002971,               0.002971
                     73,                 1.8235,                 1.0087,                 1.0554,                0.75987,                 0.7098,                0.74317,                  0.301,                 2.0457,                  1.034,                 1.1282,               0.002872,               0.002872,               0.002872
                     74,                 1.8517,                 1.0145,                 1.0529,                0.75617,                0.71753,                0.74804,                0.28865,                 2.0894,                 1.0062,                 1.1506,               0.002773,               0.002773,               0.002773
                     75,                 1.8543,                 1.0322,                 1.0728,                0.78676,                0.66667,                0.75235,                0.28707,                 2.0861,                 1.0233,                 1.1448,               0.002674,               0.002674,               0.002674
                     76,                 1.8546,                 1.0083,                 1.0576,                0.75321,                0.69804,                0.74959,                0.30946,                 2.0309,                 1.0261,                 1.1281,               0.002575,               0.002575,               0.002575
                     77,                 1.7816,                0.97243,                 1.0348,                0.75564,                0.71547,                0.78399,                0.31282,                 2.0221,                 1.0127,                 1.1144,               0.002476,               0.002476,               0.002476
                     78,                 1.8104,                0.97921,                 1.0432,                0.76731,                0.71124,                0.77438,                0.31103,                 2.0436,                 1.0161,                 1.1205,               0.002377,               0.002377,               0.002377
                     79,                 1.7835,                0.98475,                 1.0437,                0.76764,                0.64706,                0.74042,                 0.3004,                 2.1122,                 1.0381,                 1.1409,               0.002278,               0.002278,               0.002278
                     80,                 1.8039,                0.98749,                 1.0442,                0.82661,                0.65098,                0.78534,                0.31055,                 2.0633,                 1.0107,                 1.1304,               0.002179,               0.002179,               0.002179
                     81,                 1.7728,                0.97929,                 1.0352,                0.76626,                0.66853,                0.73586,                0.30501,                 2.0686,                 1.0136,                 1.1251,                0.00208,                0.00208,                0.00208
                     82,                 1.7699,                0.96967,                  1.057,                 0.7464,                0.70407,                0.75197,                0.30494,                 2.0548,                 1.0038,                 1.1304,               0.001981,               0.001981,               0.001981
                     83,                 1.7816,                0.97392,                 1.0321,                0.73117,                0.73595,                0.75562,                0.30795,                 2.0551,                 1.0019,                  1.127,               0.001882,               0.001882,               0.001882
                     84,                 1.7655,                0.97422,                  1.054,                 0.7598,                 0.6902,                0.74939,                  0.302,                 2.0543,                 1.0283,                 1.1264,               0.001783,               0.001783,               0.001783
                     85,                 1.7784,                0.97131,                 1.0483,                0.75329,                0.69804,                0.75124,                0.30648,                 2.0603,                 1.0229,                 1.1309,               0.001684,               0.001684,               0.001684
                     86,                 1.7561,                0.96879,                 1.0322,                0.80327,                0.62353,                0.73416,                0.30818,                 2.0725,                 1.0423,                 1.1347,               0.001585,               0.001585,               0.001585
                     87,                 1.7384,                0.94776,                 1.0191,                0.75222,                0.67861,                 0.7465,                0.30636,                 2.0664,                 1.0045,                 1.1352,               0.001486,               0.001486,               0.001486
                     88,                 1.7183,                0.93441,                 1.0323,                0.78122,                0.67451,                 0.7515,                0.30669,                 2.0576,                  1.008,                 1.1333,               0.001387,               0.001387,               0.001387
                     89,                 1.7389,                 0.9471,                 1.0381,                0.75978,                0.66978,                0.76542,                0.31167,                 2.0424,                  1.005,                 1.1211,               0.001288,               0.001288,               0.001288
